log,lat,mask,analysed_sst,analysis_error,sea_ice_fraction
119.525,-34.975,1,292.1299934722483,0.8999999798834324,0.0
119.575,-34.975,1,292.09999347291887,0.8999999798834324,0.0
119.625,-34.975,1,292.0699934735894,0.8899999801069498,0.0
119.675,-34.975,1,292.04999347403646,0.8899999801069498,0.0
119.725,-34.975,1,292.03999347426,0.8899999801069498,0.0
119.775,-34.975,1,292.04999347403646,0.8899999801069498,0.0
119.825,-34.975,1,292.05999347381294,0.8899999801069498,0.0
119.875,-34.975,1,292.0899934731424,0.8899999801069498,0.0
119.925,-34.975,1,292.09999347291887,0.8799999803304672,0.0
119.975,-34.975,1,292.11999347247183,0.8799999803304672,0.0
120.025,-34.975,1,292.1499934718013,0.8799999803304672,0.0
120.075,-34.975,1,292.16999347135425,0.8799999803304672,0.0
120.125,-34.975,1,292.16999347135425,0.8799999803304672,0.0
120.175,-34.975,1,292.17999347113073,0.8699999805539846,0.0
120.225,-34.975,1,292.17999347113073,0.8699999805539846,0.0
120.275,-34.975,1,292.17999347113073,0.8699999805539846,0.0
120.325,-34.975,1,292.17999347113073,0.8699999805539846,0.0
120.375,-34.975,1,292.1899934709072,0.8699999805539846,0.0
120.425,-34.975,1,292.21999347023666,0.8599999807775021,0.0
120.475,-34.975,1,292.2499934695661,0.8599999807775021,0.0
120.525,-34.975,1,292.27999346889555,0.8599999807775021,0.0
120.575,-34.975,1,292.3199934680015,0.8599999807775021,0.0
120.625,-34.975,1,292.3599934671074,0.8599999807775021,0.0
120.675,-34.975,1,292.38999346643686,0.8499999810010195,0.0
120.725,-34.975,1,292.4099934659898,0.8499999810010195,0.0
120.775,-34.975,1,292.4199934657663,0.8499999810010195,0.0
120.825,-34.975,1,292.4299934655428,0.8499999810010195,0.0
120.875,-34.975,1,292.4199934657663,0.8499999810010195,0.0
120.925,-34.975,1,292.39999346621335,0.8399999812245369,0.0
120.975,-34.975,1,292.3599934671074,0.8399999812245369,0.0
121.025,-34.975,1,292.309993468225,0.8399999812245369,0.0
121.075,-34.975,1,292.2399934697896,0.8399999812245369,0.0
121.125,-34.975,1,292.15999347157776,0.8399999812245369,0.0
121.175,-34.975,1,292.0699934735894,0.8299999814480543,0.0
121.225,-34.975,1,291.9699934758246,0.8299999814480543,0.0
121.275,-34.975,1,291.87999347783625,0.8299999814480543,0.0
121.325,-34.975,1,291.7799934800714,0.8299999814480543,0.0
121.375,-34.975,1,291.69999348185956,0.8299999814480543,0.0
121.425,-34.975,1,291.6299934834242,0.8299999814480543,0.0
121.475,-34.975,1,291.5599934849888,0.8199999816715717,0.0
121.525,-34.975,1,291.52999348565936,0.8199999816715717,0.0
121.575,-34.975,1,291.4999934863299,0.8199999816715717,0.0
121.625,-34.975,1,291.4999934863299,0.8199999816715717,0.0
121.675,-34.975,1,291.5099934861064,0.8199999816715717,0.0
121.725,-34.975,1,291.52999348565936,0.8099999818950891,0.0
121.775,-34.975,1,291.5499934852123,0.8099999818950891,0.0
121.825,-34.975,1,291.5799934845418,0.8099999818950891,0.0
121.875,-34.975,1,291.6299934834242,0.8099999818950891,0.0
121.925,-34.975,1,291.6699934825301,0.8099999818950891,0.0
121.975,-34.975,1,291.70999348163605,0.7999999821186066,0.0
122.025,-34.975,1,291.749993480742,0.7999999821186066,0.0
122.075,-34.975,1,291.7799934800714,0.7999999821186066,0.0
122.125,-34.975,1,291.7899934798479,0.7999999821186066,0.0
122.175,-34.975,1,291.7999934796244,0.7999999821186066,0.0
122.225,-34.975,1,291.8099934794009,0.789999982342124,0.0
122.275,-34.975,1,291.81999347917736,0.789999982342124,0.0
122.325,-34.975,1,291.82999347895384,0.789999982342124,0.0
122.375,-34.975,1,291.82999347895384,0.789999982342124,0.0
122.425,-34.975,1,291.82999347895384,0.789999982342124,0.0
122.475,-34.975,1,291.8399934787303,0.7799999825656414,0.0
